Subject,Predicate,Object
Augusto Righi,Mitglied von,Accademia Nazionale delle Scienze
Richard Buckminster Fuller,Todesursache,Krebs
Nicki Minaj,Land der Staatsangehörigkeit,Vereinigte Staaten
Eritrea,Mitglied von,Afrikanische Union
Burton Cummings,Tätigkeit,Songschreiber
Debbie Reynolds,Tätigkeit,Drehbuchautor
Nikita Sergejewitsch Michalkow,gesprochene oder publizierte Sprachen,Russisch
Selma Lagerlöf,Todesursache,Schlaganfall
Vereinigte Staaten,diplomatische Beziehung,Burkina Faso
Isaac Asimov,gesprochene oder publizierte Sprachen,Englisch
Malawi,diplomatische Beziehung,Südafrika
Marguerite Duras,Tätigkeit,Philosoph
George Henschel,gesprochene oder publizierte Sprachen,Deutsch
Stanisław Lem,Religionszugehörigkeit,Atheismus
Margaret Atwood,Tätigkeit,Pädagoge
Slowakei,diplomatische Beziehung,Weißrussland
Papua-Neuguinea,diplomatische Beziehung,Australien
Kingsley Amis,Tätigkeit,Literaturkritiker
Neil Young,Genre,Blues
Ezra Pound,Tätigkeit,Übersetzer
Georgien,diplomatische Beziehung,Polen
Little Richard,Bevölkerungsgruppe,Afroamerikaner
James Bryant Conant,Mitglied von,American Academy of Arts and Sciences
Alexander Issajewitsch Solschenizyn,Tätigkeit,Drehbuchautor
Israel,diplomatische Beziehung,Brasilien
Olivier Messiaen,Instrument,Orgel
Gabun,diplomatische Beziehung,Republik China
Paraguay,Mitglied von,Welthandelsorganisation
Slowakei,diplomatische Beziehung,Liechtenstein
George Harrison,Land der Staatsangehörigkeit,Vereinigtes Königreich
Clint Eastwood,Tätigkeit,Songschreiber
John Lydon,Tätigkeit,Sänger
Kenia,diplomatische Beziehung,Vereinigtes Königreich
Papua-Neuguinea,Mitglied von,Vereinte Nationen
Dido,Instrument,Stimme
Sara Bareilles,besuchte Bildungseinrichtung,"University of California, Los Angeles"
Albertus Magnus,Tätigkeit,Musiktheoretiker
Simbabwe,Mitglied von,African Union/United Nations Hybrid Operation in Darfur
Penny Marshall,Tätigkeit,Tänzer
Joseph Fourier,Tätigkeit,Archäologe
Janet Jackson,Tätigkeit,Tänzer
Edward Sabine,Tätigkeit,Zoologe
Paul McCartney,Religionszugehörigkeit,Agnostizismus
David Bowie,Genre,
Mort Shuman,Tätigkeit,Musiker
Dima Bilan,gesprochene oder publizierte Sprachen,Russisch
Algerien,Mitglied von,UNESCO
Kolumbien,diplomatische Beziehung,Venezuela
Simone de Beauvoir,Tätigkeit,Autor
Jegor Letow,Tätigkeit,Gitarrist
Pavel Jozef Šafárik,besuchte Bildungseinrichtung,Friedrich-Schiller-Universität Jena
Gustav Robert Kirchhoff,Tätigkeit,Physiker
Alejandro Jodorowsky,Tätigkeit,Komponist
Édouard René Lefebvre de Laboulaye,gesprochene oder publizierte Sprachen,Französisch
Steven Seagal,Tätigkeit,Sänger
D. H. Lawrence,Tätigkeit,Literaturkritiker
Henry Le Chatelier,Land der Staatsangehörigkeit,Frankreich
Fjodor Michailowitsch Dostojewski,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Rob Zombie,Tätigkeit,Sänger
Vanessa Lynn Williams,gesprochene oder publizierte Sprachen,Englisch
Philippinen,Mitglied von,Interpol
Luxemburg,diplomatische Beziehung,Belgien
Brad Pitt,Tätigkeit,Filmproduzent
Stephen Spender,Mitglied von,Deutsche Akademie für Sprache und Dichtung
Avery Brooks,Tätigkeit,Schauspieler
Gordon Parks,Bevölkerungsgruppe,Afroamerikaner
Joanne K. Rowling,Mitglied von,Royal Society of Literature
Sakis Rouvas,Genre,Rockmusik
Hugh Laurie,Tätigkeit,Romancier
Heinrich Brunner,Tätigkeit,Historiker
Vereinigte Arabische Emirate,diplomatische Beziehung,Kanada
Lil’ Kim,Tätigkeit,Autor
Mandy Moore,Plattenlabel,EMI
Denis Johnson,Tätigkeit,Romancier
Howard Hughes,Parteizugehörigkeit,Republikanische Partei
Buckethead,Instrument,Synthesizer
Mary Pickford,Parteizugehörigkeit,Republikanische Partei
portugiesisches Kolonialreich,Kontinent,Asien
T-Boz,Tätigkeit,Musiker
Boris Vian,Tätigkeit,Dichter
Tina Turner,Tätigkeit,Tänzer
Eldar Alexandrowitsch Rjasanow,Tätigkeit,Pädagoge
Howard Zinn,Tätigkeit,Historiker
Italien,diplomatische Beziehung,Schweden
Vince Gill,Tätigkeit,Sänger
Ludwig Geiger,besuchte Bildungseinrichtung,Georg-August-Universität Göttingen
Philip Pullman,Tätigkeit,Kinderbuchautor
Leo Trotzki,Tätigkeit,Militär
Jared Leto,Wohnsitz,Los Angeles
Archibald Vivian Hill,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Japan,Mitglied von,Afrikanische Entwicklungsbank
Arthur C. Clarke,gesprochene oder publizierte Sprachen,Englisch
Tschingis Aitmatow,Tätigkeit,Journalist
Michel Legrand,Plattenlabel,Columbia Records
Camillo Golgi,Mitglied von,Akademie der Wissenschaften zu Göttingen
Johann Georg Adam Forster,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Ricky Martin,Wohnsitz,Los Angeles
Chris Cornell,Tätigkeit,Musikproduzent
Walter Scott,Tätigkeit,Historiker
Angie Stone,Tätigkeit,Bühnenschauspieler
Ernst Mach,Tätigkeit,Pädagoge
Iran,diplomatische Beziehung,Gambia
François Arago,Mitglied von,Royal Society
Macy Gray,Plattenlabel,Epic Records
Andrei Witaljewitsch Korotajew,gesprochene oder publizierte Sprachen,Deutsch
Hugo Grotius,Tätigkeit,Hochschullehrer
Joss Whedon,Tätigkeit,Schriftsteller
Keri Hilson,Tätigkeit,Musiker
Kiely Williams,Instrument,Stimme
Jessica Simpson,Genre,Contemporary R&B
Nordmazedonien,Mitglied von,Vereinte Nationen
Judy Garland,gesprochene oder publizierte Sprachen,Englisch
Republik Zypern,Mitglied von,Commonwealth of Nations
Colleen Fitzpatrick,Tätigkeit,Musiker
Republik China,diplomatische Beziehung,Venezuela
Otto Juljewitsch Schmidt,Arbeitgeber,Russische Akademie der Wissenschaften
Robert Penn Warren,Tätigkeit,Dichter
Celeste Buckingham,Genre,Soul
Doc Watson,Instrument,Gitarre
Johann Wolfgang von Goethe,gesprochene oder publizierte Sprachen,Deutsch
Brunei,Kontinent,Asien
Bob Seger,Tätigkeit,Komponist
Helge Schneider,Tätigkeit,Jazzmusiker
Martin Buber,Geburtsort,Wien
Gary Becker,Land der Staatsangehörigkeit,Vereinigte Staaten
Raven-Symoné Pearman,Genre,Popmusik
Jean-Baptiste Biot,Mitglied von,Royal Society
Ezra Pound,Tätigkeit,Journalist
Ulf Ekberg,Tätigkeit,Geschäftsmann
George Steiner,Tätigkeit,Hochschullehrer
Siméon Denis Poisson,gesprochene oder publizierte Sprachen,Französisch
Anthony Burgess,gesprochene oder publizierte Sprachen,Englisch
Rickie Lee Jones,Tätigkeit,Sänger
Ruslana Lyschytschko,Instrument,Klavier
Mos Def,Tätigkeit,Fernsehschauspieler
John Cameron Mitchell,Tätigkeit,Sänger
Sebastian Haffner,Tätigkeit,Journalist
Xavier Cugat,Plattenlabel,Columbia Records
June Carter Cash,Sterbeort,Nashville
Donovan,Land der Staatsangehörigkeit,Vereinigtes Königreich
Burundi,diplomatische Beziehung,Georgien
Louis Armstrong,Tätigkeit,Filmkomponist
Finnland,Mitglied von,Organisation für das Verbot chemischer Waffen
George Porter,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Béla Bartók,Tätigkeit,Musikwissenschaftler
Sudan,Mitglied von,Internationale Finanz-Corporation
Janel Parrish,Tätigkeit,Bühnenschauspieler
Vereinigtes Königreich,diplomatische Beziehung,Israel
Rebbie Jackson,Geschwister,Steven Randall Jackson
Jimmy Fallon,Tätigkeit,Fernsehmoderator
Frankreich,diplomatische Beziehung,Burundi
Vereinigtes Königreich,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Konstantin Eduardowitsch Ziolkowski,Tätigkeit,Mathematiker
Céline Dion,Instrument,Klavier
Kasachstan,diplomatische Beziehung,Volksrepublik China
Debbie Reynolds,Land der Staatsangehörigkeit,Vereinigte Staaten
Thomas Hobbes,Tätigkeit,Historiker
Andrei Arsenjewitsch Tarkowski,Wohnsitz,Moskau
Anastacia,Genre,Dance-Pop
Königreich der Niederlande,Mitglied von,Internationale Entwicklungsorganisation
Volksrepublik China,Mitglied von,Internationale Finanz-Corporation
Brian Molko,Instrument,Mundharmonika
R. Kelly,Plattenlabel,Jive Records
Milan Kundera,Land der Staatsangehörigkeit,Frankreich
Herman Melville,Tätigkeit,Romancier
Christa Wolf,Tätigkeit,Essayist
Albert Lortzing,gesprochene oder publizierte Sprachen,Deutsch
Südafrika,diplomatische Beziehung,Serbien
Mark Twain,Tätigkeit,Schriftsteller
Toni Morrison,Tätigkeit,Kinderbuchautor
Dänemark,diplomatische Beziehung,Costa Rica
Robert Frost,besuchte Bildungseinrichtung,Harvard University
Bangladesch,diplomatische Beziehung,Frankreich
Honoré de Balzac,Bevölkerungsgruppe,Franzosen
Meat Loaf,Plattenlabel,Motown
George Carlin,Tätigkeit,Produzent
Ursula K. Le Guin,beeinflusst von,J. R. R. Tolkien
Winston Churchill,Tätigkeit,Historiker
Jean-Baptiste Dumas,Mitglied von,Accademia Nazionale delle Scienze
Meaghan Jette Martin,Tätigkeit,Bühnenschauspieler
Japan,diplomatische Beziehung,Südkorea
Moby,Tätigkeit,DJ
Sakis Rouvas,Tätigkeit,Pianist
Thomas Hobbes,Land der Staatsangehörigkeit,Vereinigtes Königreich
Claude Lévi-Strauss,gesprochene oder publizierte Sprachen,Französisch
M.I.A.,Tätigkeit,Rapper
Pierre Boulez,Tätigkeit,Musikwissenschaftler
Tamer Hosny,Tätigkeit,Sänger
Salomonen,Mitglied von,Welthandelsorganisation
Patti Smith,Plattenlabel,Columbia Records
Sun Ra,Tätigkeit,Bandleader
Max Brod,Geburtsort,Prag
Roger Waters,Religionszugehörigkeit,Atheismus
Jean-Baptiste Le Rond d’Alembert,Arbeitsgebiet,Mathematik
Pat Boone,Tätigkeit,Sprecher
Jacob Grimm,Mitglied von,Akademie der Wissenschaften zu Göttingen
Paul McCartney,Plattenlabel,Parlophone
Dominikanische Republik,diplomatische Beziehung,Australien
Jeff Bridges,Instrument,Stimme
Ed Sheeran,Tätigkeit,Filmschauspieler
Viktor Hambarzumjan,Land der Staatsangehörigkeit,Russisches Kaiserreich
Clive Barker,Tätigkeit,Künstler
Wassily Kandinsky,Tätigkeit,Lehrer
Henri Poincaré,Tätigkeit,Mathematiker
Miguel de Cervantes,Tätigkeit,Romancier
Alan Stivell,Land der Staatsangehörigkeit,Frankreich
Sheldon Lee Glashow,Tätigkeit,Wissenschaftler
Georg Lukács,Mitglied von,Schriftstellerverband der UdSSR
Renato Carosone,Instrument,Stimme
Estland,Mitglied von,International Hydrographic Organization
Russell Brand,Tätigkeit,Sänger
Peru,diplomatische Beziehung,Russland
Immanuel Kant,Land der Staatsangehörigkeit,Königreich Preußen
Teena Marie,Tätigkeit,Singer-Songwriter
Jimmy Buffett,Plattenlabel,Island Records
Mary-Kate Olsen,Tätigkeit,Modedesigner
George Santayana,Mitglied von,Phi Beta Kappa
Gaston Darboux,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Leonard Nimoy,Tätigkeit,Filmregisseur
François-René de Chateaubriand,Tätigkeit,Historiker
Carl Peter Thunberg,Mitglied von,Königlich Niederländische Akademie der Wissenschaften
Israel,diplomatische Beziehung,Papua-Neuguinea
Nelly Furtado,Genre,Folk
Peru,diplomatische Beziehung,Spanien
Richard Dawkins,Tätigkeit,Drehbuchautor
Leo Trotzki,Religionszugehörigkeit,Atheismus
Ludwig Wittgenstein,Tätigkeit,Schriftsteller
Eric Idle,Tätigkeit,Dramatiker
Monica,Plattenlabel,RCA Records
RCA Records,Genre,Rockmusik
Garth Brooks,Tätigkeit,Schauspieler
Rudyard Kipling,Tätigkeit,Romancier
Sidney Sheldon,Tätigkeit,Prosaist
Jason Newsted,Genre,Heavy Metal
Olivier Messiaen,Mitglied von,Bayerische Akademie der Schönen Künste
Dschibuti,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Irland,Mitglied von,Europäische Union
Sri Lanka,diplomatische Beziehung,Ungarn
Crispin Glover,Land der Staatsangehörigkeit,Vereinigte Staaten
Jamie Foxx,Tätigkeit,Komiker
Heinrich Heine,beeinflusst von,George Gordon Byron
W. H. Auden,Sterbeort,Wien
Graham Greene,Mitglied von,Royal Society of Literature
Russland,diplomatische Beziehung,Guatemala
Bangladesch,diplomatische Beziehung,Papua-Neuguinea
Spike Lee,Tätigkeit,Drehbuchautor
Myanmar,diplomatische Beziehung,Israel
Penny Marshall,Ehepartner(in),Rob Reiner
Dido,Tätigkeit,Musiker
Volksrepublik China,diplomatische Beziehung,Fidschi
Albrecht von Haller,Arbeitgeber,Georg-August-Universität Göttingen
Miley Cyrus,Instrument,Klavier
Irak,Mitglied von,Organisation für das Verbot chemischer Waffen
Angélique Kidjo,Tätigkeit,Choreograf
Igor Strawinsky,Land der Staatsangehörigkeit,Frankreich
Daniel Lanois,Tätigkeit,Musiker
Charles Aznavour,Tätigkeit,Schriftsteller
Josiah Willard Gibbs,Tätigkeit,Mathematiker
Demokratische Republik Kongo,Amtssprache,Französisch
Seychellen,Mitglied von,Afrikanische Union
Marshallinseln,Mitglied von,Alliance of Small Island States
Bosnien und Herzegowina,diplomatische Beziehung,England
Wilhelm Ostwald,Tätigkeit,Chemiker
Justin Timberlake,Instrument,Tasteninstrument
David Cross,Tätigkeit,Filmschauspieler
Bhutan,diplomatische Beziehung,Nepal
Lew Nikolajewitsch Tolstoi,beeinflusst von,Nikolai Wassiljewitsch Gogol
Israel,diplomatische Beziehung,Nigeria
Paris,Staat,Frankreich
Howard Hughes,Tätigkeit,Drehbuchautor
Brigitte Fontaine,Land der Staatsangehörigkeit,Frankreich
Julian Klaczko,gesprochene oder publizierte Sprachen,Hebräisch
Deutschland,Mitglied von,Vereinte Nationen
Jason Mraz,Plattenlabel,Atlantic Records
Rumänien,Mitglied von,Internationale Organisation der Frankophonie
Pierre-Simon Laplace,Tätigkeit,Physiker
Joseph Priestley,gesprochene oder publizierte Sprachen,Französisch
Theodore von Kármán,Tätigkeit,Astronom
Tina Turner,Tätigkeit,Choreograf
Ronald Reagan,Arbeitgeber,Warner Bros. Entertainment
Ellie Goulding,Tätigkeit,Multiinstrumentalist
Jay Chou,Tätigkeit,Sänger
Oprah Winfrey,Tätigkeit,Journalist
Hu Shi,Tätigkeit,Journalist
Janet Jackson,Genre,Soul
Olivier Messiaen,Mitglied von,Akademie der Künste der DDR
Malaysia,diplomatische Beziehung,Jamaika
John Turturro,Tätigkeit,Regisseur
Mark Salling,Instrument,Gitarre
Rodion Konstantinowitsch Schtschedrin,Tätigkeit,Komponist
John Dos Passos,Land der Staatsangehörigkeit,Vereinigte Staaten
Hannah Arendt,Arbeitgeber,Yale University
Nora Ephron,Todesursache,Lungenentzündung
Schweden,diplomatische Beziehung,Dänemark
Lenny Kravitz,Tätigkeit,Musikproduzent
Volksrepublik China,diplomatische Beziehung,Sudan
Jewgeni Iwanowitsch Samjatin,Tätigkeit,Prosaist
Bill Cosby,Mitglied von,American Academy of Arts and Sciences
Bahamas,Mitglied von,AKP-Gruppe
Kenia,diplomatische Beziehung,Libyen
Anton Bruckner,Land der Staatsangehörigkeit,Kaisertum Österreich
Hu Shi,Mitglied von,American Academy of Arts and Sciences
Garth Brooks,Instrument,Saxophon
Levon Helm,Instrument,Schlagzeug
Nigeria,Kontinent,Afrika
Mickey Rooney,Tätigkeit,Komiker
Yvonne De Carlo,Plattenlabel,Columbia Records
Laurie Anderson,Tätigkeit,Dichter
Czesław Miłosz,Mitglied von,American Academy of Arts and Sciences
Günter Grass,Tätigkeit,Schriftsteller
Kroatien,diplomatische Beziehung,Bosnien und Herzegowina
David Hasselhoff,Religionszugehörigkeit,Evangelisch-lutherische Kirchen
Alanis Morissette,Tätigkeit,Gitarrist
Karl Mannheim,gesprochene oder publizierte Sprachen,Ungarisch
Jerry Lewis,Tätigkeit,Sänger
Seth MacFarlane,Tätigkeit,Filmproduzent
Irene Cara,Instrument,Klavier
Woody Allen,Tätigkeit,Drehbuchautor
Paraguay,diplomatische Beziehung,Vereinigte Staaten
Dänemark,diplomatische Beziehung,Kasachstan
Jamie Foxx,Tätigkeit,Rapper
Elfriede Jelinek,Tätigkeit,Schriftsteller
Frankreich,diplomatische Beziehung,Argentinien
George Steiner,Land der Staatsangehörigkeit,Vereinigte Staaten
Justin Timberlake,Tätigkeit,Filmproduzent
Guinea,Mitglied von,
John Travolta,Tätigkeit,Sprecher
Gilbert Bécaud,Land der Staatsangehörigkeit,Frankreich
Simone de Beauvoir,Tätigkeit,Autobiograf
Mike Shinoda,Tätigkeit,Gitarrist
Charles Bukowski,beeinflusst von,Fjodor Michailowitsch Dostojewski
Mohandas Karamchand Gandhi,Tätigkeit,Jurist
Republik China,diplomatische Beziehung,Schweden
Bhutan,Mitglied von,Internationale Fernmeldeunion
Harold Pinter,Land der Staatsangehörigkeit,Vereinigtes Königreich
Kolumbien,Mitglied von,Welthandelsorganisation
Lil’ Kim,Instrument,Stimme
Prosper Mérimée,gesprochene oder publizierte Sprachen,Französisch
Billy Joel,Land der Staatsangehörigkeit,Vereinigte Staaten
Sakis Rouvas,Tätigkeit,Songschreiber
William S. Burroughs,Tätigkeit,Essayist
Carrie Fisher,Tätigkeit,Sprecher
Thailand,diplomatische Beziehung,Republik China
Seamus Heaney,beeinflusst von,T. S. Eliot
Erykah Badu,Tätigkeit,Sänger
Jemen,diplomatische Beziehung,Vereinigte Staaten
Liechtenstein,diplomatische Beziehung,Europäische Union
Malawi,Mitglied von,Internationale Fernmeldeunion
Iwan Sergejewitsch Turgenew,Arbeitgeber,Sankt Petersburger Akademie der Wissenschaften
Katerina Graham,Tätigkeit,Model
Nikolai Wladimirowitsch Fomenko,Instrument,Stimme
Sergei Anatoljewitsch Kurjochin,Tätigkeit,Pianist
Alexei Wladimirowitsch Worobjow,Tätigkeit,Komponist
Afrika Bambaataa,Tätigkeit,Sänger
Yoram Kaniuk,Tätigkeit,Maler
Roger Waters,Tätigkeit,Friedensaktivist
Janet Jackson,Plattenlabel,Mercury Records
Jean-Baptiste Le Rond d’Alembert,Mitglied von,Académie des sciences
Jim Messina,Tätigkeit,Ingenieur
Giorgio Gaber,Instrument,Stimme
Joseph Fourier,Sterbeort,Paris
D. H. Lawrence,Erkrankung,Tuberkulose
Hermann Usener,Land der Staatsangehörigkeit,Deutsches Kaiserreich
Lonnie Liston Smith,Bevölkerungsgruppe,Afroamerikaner
Niger,Mitglied von,Weltpostverein
Rumänien,diplomatische Beziehung,Polen
Myanmar,Mitglied von,International Hydrographic Organization
François-René de Chateaubriand,Tätigkeit,Journalist
Irland,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Lisa Loeb,Plattenlabel,Geffen Records
Eddie Money,Genre,Rockmusik
Ingeborg Bachmann,Mitglied von,Deutsche Akademie für Sprache und Dichtung
Zooey Deschanel,Tätigkeit,Singer-Songwriter
Spanien,diplomatische Beziehung,Kolumbien
"Marie Jean Antoine Nicolas Caritat, Marquis de Condorcet",Tätigkeit,Wirtschaftswissenschaftler
Urbain Le Verrier,Mitglied von,Russische Akademie der Wissenschaften
Sun Ra,Tätigkeit,Schauspieler
Zora Neale Hurston,Tätigkeit,Historiker
Katy Perry,Genre,Synthie Pop
Hector Berlioz,Instrument,Gitarre
Paul McCartney,Tätigkeit,Schauspieler
Nepal,diplomatische Beziehung,Republik China
Andy Williams,Tätigkeit,Produzent
"John William Strutt, 3. Baron Rayleigh",Tätigkeit,Politiker
Édouard René Lefebvre de Laboulaye,Tätigkeit,Lehrer
Bret Michaels,Land der Staatsangehörigkeit,Vereinigte Staaten
Count Basie,Tätigkeit,Komponist
Kanada,diplomatische Beziehung,Europäische Union
Vanuatu,diplomatische Beziehung,Libyen
Estland,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
David Hume,Tätigkeit,Bibliothekar
Japan,diplomatische Beziehung,Sri Lanka
Theodore Roosevelt,Wohnsitz,"Washington, D.C."
Katy Perry,Plattenlabel,Capitol Records
Evelyn Waugh,Tätigkeit,Drehbuchautor
Bangladesch,diplomatische Beziehung,Venezuela
Ungarn,diplomatische Beziehung,Kasachstan
Ben Moody,Instrument,Gitarre
Kid Rock,Tätigkeit,Banjospieler
Benjamin Britten,Todesursache,Herzinsuffizienz
Ungarische Akademie der Wissenschaften,Staat,Ungarn
Iwan Antonowitsch Jefremow,Land der Staatsangehörigkeit,Russisches Kaiserreich
Israel,diplomatische Beziehung,Uganda
Friedrich Carl von Savigny,Tätigkeit,Politiker
Alfred Einstein,Tätigkeit,Schriftsteller
George Harrison,Sterbeort,Los Angeles
Che Guevara,Land der Staatsangehörigkeit,Argentinien
Joanne K. Rowling,Land der Staatsangehörigkeit,Vereinigtes Königreich
Joss Whedon,Wohnsitz,New York City
Robin Gibb,Sterbeort,London
Australien,diplomatische Beziehung,Peru
Richard Wagner,Genre,Oper
Volksrepublik China,diplomatische Beziehung,Sambia
A. R. Rahman,Tätigkeit,Musiker
Léo Ferré,Tätigkeit,Pianist
El Salvador,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Juri Wisbor,Tätigkeit,Schauspieler
Julieta Venegas,Arbeitsgebiet,Musikkomposition
Harald Weinrich,Arbeitgeber,Collège de France
Montenegro,diplomatische Beziehung,Vereinigte Staaten
Julio Cortázar,Tätigkeit,Übersetzer
Tamer Hosny,Instrument,Gitarre
Paula Abdul,Tätigkeit,Choreograf
Herman Melville,Parteizugehörigkeit,Republikanische Partei
Burundi,Mitglied von,AKP-Gruppe
Shel Silverstein,Land der Staatsangehörigkeit,Vereinigte Staaten
Bangladesch,diplomatische Beziehung,Vereinigte Arabische Emirate
Kap Verde,Mitglied von,Interpol
Joseph Liouville,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
